Threads,  blocking,   nonblocking,  tbb
01,        3,          4,            4
02,        3,          4,            4
03,        3,          4,            4
04,        5,          5,            5
05,        7,          8,            8
06,        7,          9,           10
07,        8,         10,           11
08,       10,         12,           12
09,       10,         12,           11
10,       10,         13,           13
11,       13,         14,           12
12,       15,         15,           13
13,       15,         16,           16
14,       15,         17,           16
15,       15,         17,           18
16,       17,         19,           19
17,       18,         21,           19
18,       21,         19,           22
19,       21,         22,           22
20,       21,         25,           22
21,       23,         26,           24
22,       24,         26,           25
23,       24,         28,           26
24,       25,         26,           26
25,       26,         28,           27
26,       28,         31,           29
27,       27,         31,           30
28,       28,         31,           31
29,       30,         33,           31
30,       32,         34,           33
31,       30,         35,           35
32,       31,         37,           37
