Threads,  blocking,   nonblocking,  tbb
01,        3,          5,            4
02,        3,          5,            4
03,        3,          5,            4
04,        5,          7,            5
05,        7,         10,            8
06,        8,         11,           11
07,       10,         10,           10
08,       11,         14,           12
09,       12,         17,           12
10,       11,         16,           14
11,       12,         15,           17
12,       14,         18,           17
13,       15,         19,           18
14,       17,         21,           18
15,       18,         21,           21
16,       18,         23,           21
17,       17,         23,           21
18,       22,         26,           24
19,       21,         25,           24
20,       22,         27,           25
21,       22,         28,           27
22,       27,         29,           28
23,       26,         32,           26
24,       28,         33,           28
25,       26,         32,           35
26,       30,         37,           31
27,       31,         37,           34
28,       30,         39,           34
29,       33,         39,           33
30,       34,         41,           34
31,       35,         39,           35
32,       35,         38,           37
